Sponsor,Name,Place,Where_Line_1,Where_Line_2,Where_Line_3,Cost,Description,Keyword,Category of Event,Event_Genre,Audience,EventWebsite,Schedule Type,Final_Start_date,Final_End_Date,EventStartDate1,EventCompleteDate1,Freq,Interval,By_day,By_month,By_monthDay,Sh_start1,Sh_end1,Sh_start2,Sh_end2,Sh_start3,Sh_end3,EventStartDate2,EventCompleteDate2,Freq1,Interval1,By_day1,By_month1,By_monthDay1,Sh_start4,Sh_end4,Sh_start5,Sh_end5,Sh_start6,Sh_end6,EventStartDate3,EventCompleteDate3,Freq2,Interval2,By_day2,By_month2,By_monthDay2,Sh_start7,Sh_end7,Sh_start8,Sh_end8,Sh_start9,Sh_end9,EventStartDate4,EventCompleteDate4,Freq3,Interval3,By_day3,By_month3,By_monthDay4,Event Poster,Sh_start10,Sh_end10,Sh_start11,Sh_end11,Sh_start12,Sh_end12,EventStartDate5,EventCompleteDate5,Freq4,Interval4,By_day4,By_month4,By_monthDay4,Sh_start13,Sh_end13,Sh_start14,Sh_end14,Sh_start15,Sh_end15,Start_Hours_on_Monday,End_Hours_on_Monday,Start_Hours_on_Tuesday,End_Hours_Tuesday,Start_Hours_OnWednesday,End_Hours_onWdnesday,Start_hours_onThursday,End_hours_onThursday,Start_hours_on_Friday,End_hours_on_Friday,Satrt_hours_onSaturday,End_hours_onSaturday,Start_hours_onSunday,End_hours_onSunday
,Story Time,,Dudley Branch of the Boston Public Library,65 Warren Street,"Roxbury, MA 02119",0,Bring your child to the Dudley library for story time. Pre-registration is required. Be sure to call in advance to verify that this event has not been rescheduled or canceled.,,Theater/ Reading,Reading,Children,,performance_based,17/10/2012,07/11/2012,24/10/2012,24/10/2012,ONCE,1,,1,,10:30:00,11:30:00,,,,,31/10/2012,31/10/2012,ONCE,1,,1,,10:30:00,11:30:00,,,,,07/11/2012,07/11/2012,ONCE,1,,1,,10:30:00,11:30:00,,,,,,,ONCE,1,,1,,BostonPublicLibrary_logo_tn.jpg,10:30:00,11:30:00,,,,,17/10/2012,17/10/2012,ONCE,1,,1,,,,,,,,,,,,,,,,,,,,,
,Preschool Storyhour,,West End Branch of the Boston Public Library,151 Cambridge Street,"Boston, MA 02134",0,for children ages 3 to 5 accompanied by an adult.,,Arts (Performing),Reading,Children,,performance_based,16/10/2012,06/11/2012,23/10/2012,23/10/2012,ONCE,1,,1,,10:30:00,11:30:00,,,,,30/10/2012,30/10/2012,ONCE,1,,1,,10:30:00,11:30:00,,,,,06/11/2012,06/11/2012,ONCE,1,,1,,10:30:00,11:30:00,,,,,,,ONCE,1,,1,,BostonPublicLibrary_logo_tn.jpg,10:30:00,11:30:00,,,,,16/10/2012,16/10/2012,ONCE,1,,1,,,,,,,,,,,,,,,,,,,,,
,Preschool Films and Fun,,Fields Corner Branch of the Boston Public Library,1520 Dorchester Avenue,"Dorchester, MA 02122",0,Preschool fun for kids ages 2 and up.,,Movie,Kids & Family,Children,,performance_based,17/10/2012,07/11/2012,24/10/2012,24/10/2012,ONCE,1,,1,,10:30:00,11:30:00,,,,,31/10/2012,31/10/2012,ONCE,1,,1,,10:30:00,11:30:00,,,,,07/11/2012,07/11/2012,ONCE,1,,1,,10:30:00,11:30:00,,,,,,,ONCE,1,,1,,BostonPublicLibrary_logo_tn.jpg,10:30:00,11:30:00,,,,,17/10/2012,17/10/2012,ONCE,1,,1,,,,,,,,,,,,,,,,,,,,,
,"Impressions on Paper: Mary Baker Eddy, Writer",,The Mary Baker Eddy Library,200 Massachusetts Avenue,"Boston, MA 02115",0,"The Library invites you to discover Mary Baker Eddys life through her groundbreaking writing. Eddys story flies in the face of convention, challenging the constraints of a time when women had few rights or opportunities. By the time of her passing, she was one of the most successful and influential women of her time and a world-renowned writer, speaker, and publisher. Discover all this in ""Impressions on Paper.""The exhibit also brings Eddys Pleasant View study to life, through the original furnishings and objects that surrounded her. From a her messy desk with its clock and candy dish to a specially ordered platform rocking chair, visitors are invited to peek into the study of a dedicated and celebrated writer.",,Exhibition,Other,Adults,www.mbelibrary.org,performance_based,16/10/2012,11/11/2012,23/10/2012,28/10/2012,DAILY,1,,1,,10:00:00,16:00:00,,,,,30/10/2012,04/11/2012,DAILY,1,,1,,10:00:00,16:00:00,,,,,06/11/2012,11/11/2012,DAILY,1,,1,,10:00:00,16:00:00,,,,,,,DAILY,1,,1,,TheMaryEddyBakerLibrary_logo_tn.jpg,10:00:00,16:00:00,,,,,16/10/2012,21/10/2012,ONCE,1,,1,,,,,,,,,,,,,,,,,,,,,
