Sponsor,Name,Place,Where_Line_1,Where_Line_2,Where_Line_3,Cost,Description,Keyword,Category of Event,Event_Genre,Audience,EventWebsite,Schedule Type,Final_Start_date,Final_End_Date,EventStartDate1,EventCompleteDate1,Freq,Interval,By_day,By_month,By_monthDay,Sh_start1,Sh_end1,Sh_start2,Sh_end2,Sh_start3,Sh_end3,EventStartDate2,EventCompleteDate2,Freq1,Interval1,By_day1,By_month1,By_monthDay1,Sh_start4,Sh_end4,Sh_start5,Sh_end5,Sh_start6,Sh_end6,EventStartDate3,EventCompleteDate3,Freq2,Interval2,By_day2,By_month2,By_monthDay2,Sh_start7,Sh_end7,Sh_start8,Sh_end8,Sh_start9,Sh_end9,EventStartDate4,EventCompleteDate4,Freq3,Interval3,By_day3,By_month3,By_monthDay4,Event Poster,Sh_start10,Sh_end10,Sh_start11,Sh_end11,Sh_start12,Sh_end12,EventStartDate5,EventCompleteDate5,Freq4,Interval4,By_day4,By_month4,By_monthDay4,Sh_start13,Sh_end13,Sh_start14,Sh_end14,Sh_start15,Sh_end15,Start_Hours_on_Monday,End_Hours_on_Monday,Start_Hours_on_Tuesday,End_Hours_Tuesday,Start_Hours_OnWednesday,End_Hours_onWdnesday,Start_hours_onThursday,End_hours_onThursday,Start_hours_on_Friday,End_hours_on_Friday,Satrt_hours_onSaturday,End_hours_onSaturday,Start_hours_onSunday,End_hours_onSunday
,Willy Wonka,,Shea Theater,71 Avenue A,"Turner Falls, MA 01376",0,,,Theater/ Reading,Theater,Adults,http://www.arenacivictheatre.org/,openhour_based,10/12/2012,21/12/2012,,,ONCE,1,,1,,,,,,,,,,ONCE,1,,1,,,,,,,,,,ONCE,1,,1,,,,,,,,,,ONCE,1,,1,,ArenaCivicTheatre_logo_tn.jpg,,,,,,,10/12/2012,21/10/2012,ONCE,1,,1,,,,,,,,,,,,,,,,19:00:00,21:00:00,19:00:00,21:00:00,19:00:00,21:00:00
,Toddler Story Time,,Roslindale Branch of the Boston Public Library,4246 Washington Street,"Roslindale, MA 02131",0,A story hour for children ages 2 and 3. Please call in advance to verify that this event has not been rescheduled or cancelled.,,Theater/ Reading,Reading,Children,,openhour_based,10/11/2012,21/11/2012,,,ONCE,1,,1,,,,,,,,,,ONCE,1,,1,,,,,,,,,,ONCE,1,,1,,,,,,,,,,ONCE,1,,1,,BostonPublicLibrary_logo_tn.jpg,,,,,,,,,ONCE,1,,1,,,,,,,,,,,,10:30:00,11:30:00,10:30:00,11:30:00,,,,,,
,"Moniker, SuperVolcano, Left Hand Does",,The Middle East - Upstairs,472-480 Massachusets Avenue,"Boston, MA 02118",10,,,Concert,Rock/ Folk,Adults,http://mideastclub.com/scheduleall.html,openhour_based,10/11/2012,10/11/2012,,,ONCE,1,,1,,,,,,,,,,ONCE,1,,1,,,,,,,,,,ONCE,1,,1,,,,,,,,,,ONCE,1,,1,,TheMiddleEast_logo_tn.jpg,,,,,,,,,ONCE,1,,1,,,,,,,,,,,,,,,,,,20:00:00,22:00:00,,
,Lar Lubovich Dance Company,,Citi Performing Arts Shubert Theater,270 Tremont Street,"Boston, MA 02116",0,,,Dance,Ballet,Adults,http://www.citicenter.org/show/1439/,openhour_based,19/10/2012,19/10/2012,,,ONCE,1,,1,,,,,,,,,,ONCE,1,,1,,,,,,,,,,ONCE,1,,1,,,,,,,,,,ONCE,1,,1,,CitiPerformingArtsCenter_logo_tn.jpg,,,,,,,,,ONCE,1,,1,,,,,,,,,,,,,,,,19:30:00,21:00:00,,,,
,"Lagwagon, Dead To Me, The Flatliners, Useless ID",,The Middle East - Downstairs,472-480 Massachusets Avenue,"Boston, MA 02118",0,,,Concert,Rock/ Folk,All public,http://mideastclub.com/scheduleall.html,openhour_based,23/10/2012,23/10/2012,,,ONCE,1,,1,,,,,,,,,,ONCE,1,,1,,,,,,,,,,ONCE,1,,1,,,,,,,,,,ONCE,1,,1,,Middle_East_Logo_full_tn.jpg,,,,,,,,,ONCE,1,,1,,,,,,,,,,19:00:00,21:00:00,,,,,,,,,,
